TITLE,DESCRIÇAO,TAGS,QUANTIDADE DE RESPOSTAS,DATA CRIAÇÃO,DATA PRIMEIRA RESP.,FOI RESPONDIDA,TEMPO (Horas) ENTRE PERGUNTA E 1ª RESPOSTA,TÍTULO TOTALMENTE EM CAIXA ALTA,TÍTULO PARCIALMENTE EM CAIXA ALTA,TÍTULO QUE RESUMA O PROBLEMA,TÍTULO CURTO (Até 3 palavras),TÍTULO TAMANHO MÉDIO (de 4 a 8 palavras),TÍTULO COERENTE COM A DESCRIÇÃO,TÍTULO OBJETIVO,TÍTULO CLARO,TÍTULO ESCRITO USANDO A NORMA CULTA DA LÍNGUA
A Ariana Grande é branca?,,"[Entretenimento e Música, Celebridades]",7,Sun Jul 30 21:53:14 BRT 2017,Mon Jul 31 15:53:15 BRT 2017,true,18
Vocẽs acham Gabriel O Pensador machista?,,"[Entretenimento e Música, Celebridades]",6,Sun Jul 30 21:53:16 BRT 2017,Sun Jul 30 21:53:16 BRT 2017,true,0
Quantos anos vocês acham q eu tenho?,https://goo.gl/GJsff3,"[Entretenimento e Música, Celebridades]",8,Fri Jul 28 21:53:16 BRT 2017,Sun Jul 30 21:53:19 BRT 2017,true,48
Cantor preferido ou cantora? 10 pontos?,,"[Entretenimento e Música, Celebridades]",8,Wed Jul 26 21:53:23 BRT 2017,Sat Jul 29 21:53:26 BRT 2017,true,72
Oque vocês acham dessa famosa?,,"[Entretenimento e Música, Celebridades]",4,Fri Jul 28 21:53:26 BRT 2017,Mon Jul 31 21:24:27 BRT 2017,true,71
"Christina Aguilera, Shakira ou Avril Lavigne??",,"[Entretenimento e Música, Celebridades]",8,Mon Jul 24 21:53:30 BRT 2017,Mon Jul 31 21:53:32 BRT 2017,true,168
A Shakira é parda ou branca?,,"[Entretenimento e Música, Celebridades]",5,Mon Jul 24 21:53:36 BRT 2017,Mon Jul 31 21:53:37 BRT 2017,true,168
Existe alguém mais hipócrita do que o Felipe Neto?,Hoje em dia ele se tornou todo o que criticava no passado.,"[Entretenimento e Música, Celebridades]",9,Mon Jul 24 21:53:37 BRT 2017,Mon Jul 31 21:53:41 BRT 2017,true,168
"Qual o melhor sobre a vida dos famosos: Sônia Abrão, TV Fama ou Fofocalizando.?",,"[Entretenimento e Música, Celebridades]",4,Mon Jul 24 21:53:41 BRT 2017,Mon Jul 31 21:53:42 BRT 2017,true,168
Qual artista da globo vc pegaria? Bruna marquezine ou regina cazé?,,"[Entretenimento e Música, Celebridades]",7,Mon Jul 17 21:53:42 BRT 2017,Mon Jul 31 21:53:44 BRT 2017,true,336
Por que Cidade de Deus é um filme de drama?,,"[Entretenimento e Música, Cinema]",22,Mon Jul 31 14:53:45 BRT 2017,Mon Jul 31 17:53:47 BRT 2017,true,3
Qual filme que passa nesse videoclipe? https://www.youtube.com/watch?v=1FYjtcg8lvE?,,"[Entretenimento e Música, Cinema]",21,Fri Jul 28 21:53:51 BRT 2017,Mon Jul 31 17:53:55 BRT 2017,true,68
Que series voces mais gostam de assitir?,,"[Entretenimento e Música, Cinema]",5,Mon Jul 31 12:54:01 BRT 2017,Mon Jul 31 13:54:04 BRT 2017,true,1
